News Outlet,Date,Compound,Positive,Neutral,Negative,Tweet Count,Tweet Text
@BBCNews,Fri Aug 03 16:11:59 +0000 2018,0.0,0.0,1.0,0.0,1,"WWE star Glenn Jacobs, aka Kane, elected mayor in Tennessee https://t.co/bbOqk3Z1E7"
@BBCNews,Fri Aug 03 15:44:03 +0000 2018,0.0,0.0,1.0,0.0,2,"Europe heatwave: Side effects felt by zoo animals, sprout farmers and more https://t.co/XJ9Bk5eS3z"
@BBCNews,Fri Aug 03 15:24:02 +0000 2018,0.0,0.0,1.0,0.0,3,Should tech companies be paying more tax? https://t.co/XCA1feJdhl
@BBCNews,Fri Aug 03 15:15:43 +0000 2018,0.875,0.556,0.444,0.0,4,European Championships 2018: Emily Kay wins GB's first European medal https://t.co/ysUZQQXhui
@BBCNews,Fri Aug 03 14:58:25 +0000 2018,0.2732,0.255,0.559,0.186,5,Joanna Blair: Great Britain javelin thrower banned for four years https://t.co/OzAhZbphVv
@BBCNews,Fri Aug 03 14:55:41 +0000 2018,0.0,0.0,1.0,0.0,6,"What really happened when Donald Trump met the Queen?

https://t.co/MzZBR3lNMG https://t.co/03gTzmu44b"
@BBCNews,Fri Aug 03 14:55:05 +0000 2018,-0.765,0.0,0.515,0.485,7,Teen jailed for life for IS terror plot https://t.co/2dGCAIc9Va
@BBCNews,Fri Aug 03 14:54:08 +0000 2018,-0.8658,0.0,0.662,0.338,8,RT @BBCBreaking: Youngest woman to be convicted of plotting terror attack on British soil jailed for life with 13-year minimum term https:/…
@BBCNews,Fri Aug 03 14:19:02 +0000 2018,0.0,0.0,1.0,0.0,9,RT @bbcweather: UK weather: How long will the heatwave last? And other questions: https://t.co/gN1G4BJEDK Jo https://t.co/LqZbaTbApS
@BBCNews,Fri Aug 03 13:42:50 +0000 2018,-0.296,0.0,0.833,0.167,10,Premier League: How can rivals stop Man City in 2018-19 season? https://t.co/bGX6fHCj8j
@BBCNews,Fri Aug 03 13:35:02 +0000 2018,0.0,0.0,1.0,0.0,11,"Will Harry Kane bank notes really sell for £50,000? https://t.co/E3Ldtqsh8C"
@BBCNews,Fri Aug 03 13:29:10 +0000 2018,0.7906,0.389,0.611,0.0,12,Para-cycling World Championships: Sarah Storey and Katie Toft win time trial gold https://t.co/sGqMjLbs8s
@BBCNews,Fri Aug 03 13:11:39 +0000 2018,-0.4939,0.0,0.714,0.286,13,Zaghari-Ratcliffe: Hunt will do 'everything' for jailed mum https://t.co/FL70kFmgcy
@BBCNews,Fri Aug 03 13:06:22 +0000 2018,0.0,0.0,1.0,0.0,14,"Trump Queen visit: Was the US president late?

https://t.co/Tfii8hRXlZ"
@BBCNews,Fri Aug 03 13:01:52 +0000 2018,-0.5267,0.0,0.746,0.254,15,Too hot? In 1858 a heatwave turned London into a stinking sewer https://t.co/GNImmWyvgn
@BBCNews,Fri Aug 03 12:59:29 +0000 2018,0.0,0.0,1.0,0.0,16,Brexit: Theresa May and Emmanuel Macron set to hold talks https://t.co/Wp7Yh2E7Ic
@BBCNews,Fri Aug 03 12:51:51 +0000 2018,-0.7845,0.0,0.669,0.331,17,RT @BBCDomC: Scotland Yard counter-terrorism detectives have arrested two men in N London on suspicion of sending suspect packages containi…
@BBCNews,Fri Aug 03 12:23:42 +0000 2018,-0.34,0.0,0.893,0.107,18,"RT @bbcweather: A new Met Office warning for thunderstorms has been issued and it covers: E Midlands, NE Eng, NW Eng, W Midlands, Yorkshire…"
@BBCNews,Fri Aug 03 12:17:54 +0000 2018,-0.4767,0.0,0.693,0.307,19,Europe heatwave: All-time temperature could be broken https://t.co/Drr69wtcvj
